article_id,article_version,url_type_id,url_id,"url","url_name",sort_order,last_updated,"url_description"
52870,37,1,1,"http://","",1,2024-12-19 13:27:21.797000000,""
52870,37,2,2,"http://","",2,2024-12-19 13:27:21.800000000,""
52870,37,3,3,"http://","",3,2024-12-19 13:27:21.810000000,""
52870,37,4,4,"http://","",4,2024-12-19 13:27:21.810000000,""
52917,4,1,1,"http://","",1,2023-11-22 16:25:23.607000000,""
52917,4,2,2,"http://","",2,2023-11-22 16:25:23.610000000,""
52917,4,3,3,"http://","",3,2023-11-22 16:25:23.613000000,""
52917,4,4,4,"http://","",4,2023-11-22 16:25:23.613000000,""
52918,5,1,1,"http://","",1,2023-11-22 18:30:28.623000000,""
52918,5,2,2,"http://","",2,2023-11-22 18:30:28.623000000,""
52918,5,3,3,"http://","",3,2023-11-22 18:30:28.627000000,""
52918,5,4,4,"http://","",4,2023-11-22 18:30:28.627000000,""
52959,13,1,1,"http://","",1,2023-11-14 17:09:23.863000000,""
52959,13,2,2,"http://","",2,2023-11-14 17:09:23.867000000,""
52959,13,3,3,"http://","",3,2023-11-14 17:09:23.870000000,""
52959,13,4,4,"http://","",4,2023-11-14 17:09:23.870000000,""
52986,242,1,1,"http://","",1,2025-04-25 17:28:18.167000000,""
52986,242,2,2,"http://","",2,2025-04-25 17:28:18.170000000,""
52986,242,3,3,"http://","",3,2025-04-25 17:28:18.173000000,""
52986,242,4,4,"http://","",4,2025-04-25 17:28:18.177000000,""
